experiment_name,rounds,global_accuracy,global_loss,comm_cost,num_clients
fedprox_mnist_alpha0.1_clients10,0,0.095,2.3119904006958008,0,3
fedprox_mnist_alpha0.1_clients10,1,0.5927,1.415997800064087,0,3
fedprox_mnist_alpha0.1_clients10,2,0.6496,0.8869380886077881,0,3
fedprox_mnist_alpha0.1_clients10,3,0.7876,0.5789235270261764,0,3
fedprox_mnist_alpha0.1_clients10,4,0.8784,0.35657656636834145,0,3
fedprox_mnist_alpha0.1_clients10,5,0.9328,0.218388040971756,0,3
fedprox_mnist_alpha0.1_clients10,6,0.8461,0.5865012472063303,0,3
fedprox_mnist_alpha0.1_clients10,7,0.9496,0.14505916533917187,0,3
fedprox_mnist_alpha0.1_clients10,8,0.8989,0.2550638073205948,0,3
fedprox_mnist_alpha0.1_clients10,9,0.9728,0.08414962796065957,0,3
fedprox_mnist_alpha0.1_clients10,10,0.9719,0.09327997282836586,0,3
fedprox_mnist_alpha0.1_clients10,11,0.8923,0.3508770033478737,0,3
fedprox_mnist_alpha0.1_clients10,12,0.8818,0.3471252835571766,0,3
fedprox_mnist_alpha0.1_clients10,13,0.9428,0.1615808323778212,0,3
fedprox_mnist_alpha0.1_clients10,14,0.9396,0.17620910722129046,0,3
fedprox_mnist_alpha0.1_clients10,15,0.9583,0.11612947161574848,0,3
fedprox_mnist_alpha0.1_clients10,16,0.9784,0.0657134521140717,0,3
fedprox_mnist_alpha0.1_clients10,17,0.9572,0.12041220685141162,0,3
fedprox_mnist_alpha0.1_clients10,18,0.9682,0.0964963199291844,0,3
fedprox_mnist_alpha0.1_clients10,19,0.9631,0.10935282015493139,0,3
fedprox_mnist_alpha0.1_clients10,20,0.9689,0.09301246156031266,0,3
