experiment_name,rounds,global_accuracy,global_loss,comm_cost,num_clients
fedavg_mnist_alpha1.0_clients10,0,0.1041,2.302081259918213,0,3
fedavg_mnist_alpha1.0_clients10,1,0.9609,0.17306562380194665,0,3
fedavg_mnist_alpha1.0_clients10,2,0.9797,0.06204992170953192,0,3
fedavg_mnist_alpha1.0_clients10,3,0.9813,0.05129086064893054,0,3
fedavg_mnist_alpha1.0_clients10,4,0.9865,0.04178083246597089,0,3
fedavg_mnist_alpha1.0_clients10,5,0.987,0.040709018543720596,0,3
fedavg_mnist_alpha1.0_clients10,6,0.9872,0.03883889268511848,0,3
fedavg_mnist_alpha1.0_clients10,7,0.9862,0.04164032337247336,0,3
fedavg_mnist_alpha1.0_clients10,8,0.989,0.03344237303876434,0,3
fedavg_mnist_alpha1.0_clients10,9,0.991,0.0293127997995427,0,3
fedavg_mnist_alpha1.0_clients10,10,0.9892,0.0341620689389616,0,3
fedavg_mnist_alpha1.0_clients10,11,0.9892,0.033731736355330215,0,3
fedavg_mnist_alpha1.0_clients10,12,0.9922,0.024993044000020382,0,3
fedavg_mnist_alpha1.0_clients10,13,0.9924,0.0242613101049541,0,3
fedavg_mnist_alpha1.0_clients10,14,0.9914,0.027225450264998834,0,3
fedavg_mnist_alpha1.0_clients10,15,0.9917,0.024946657593043348,0,3
fedavg_mnist_alpha1.0_clients10,16,0.992,0.023356528261984567,0,3
fedavg_mnist_alpha1.0_clients10,17,0.9919,0.02689576189669119,0,3
fedavg_mnist_alpha1.0_clients10,18,0.9919,0.024429715373487988,0,3
fedavg_mnist_alpha1.0_clients10,19,0.9919,0.023172775854540896,0,3
fedavg_mnist_alpha1.0_clients10,20,0.9927,0.023797158577867787,0,3
