experiment_name,rounds,global_accuracy,global_loss,comm_cost,num_clients
adaptive_fedprox_mnist_alpha1.0_clients10,0,0.0383,2.3018353099823,0,3
adaptive_fedprox_mnist_alpha1.0_clients10,1,0.9359,0.3809131551742554,0,3
adaptive_fedprox_mnist_alpha1.0_clients10,2,0.9559,0.15661842731535436,0,3
adaptive_fedprox_mnist_alpha1.0_clients10,3,0.9647,0.11064916931316257,0,3
adaptive_fedprox_mnist_alpha1.0_clients10,4,0.9719,0.08969080050457269,0,3
adaptive_fedprox_mnist_alpha1.0_clients10,5,0.976,0.07571621198654174,0,3
adaptive_fedprox_mnist_alpha1.0_clients10,6,0.9755,0.07086817430462689,0,3
adaptive_fedprox_mnist_alpha1.0_clients10,7,0.9765,0.06949590638140217,0,3
adaptive_fedprox_mnist_alpha1.0_clients10,8,0.9846,0.04777568657975644,0,3
adaptive_fedprox_mnist_alpha1.0_clients10,9,0.9851,0.04782245440455154,0,3
adaptive_fedprox_mnist_alpha1.0_clients10,10,0.9833,0.04997085183477029,0,3
adaptive_fedprox_mnist_alpha1.0_clients10,11,0.9823,0.04917193964270409,0,3
adaptive_fedprox_mnist_alpha1.0_clients10,12,0.9877,0.03956174177050125,0,3
adaptive_fedprox_mnist_alpha1.0_clients10,13,0.9835,0.04624924331280636,0,3
adaptive_fedprox_mnist_alpha1.0_clients10,14,0.9866,0.03827103104723501,0,3
adaptive_fedprox_mnist_alpha1.0_clients10,15,0.9877,0.03732064036781667,0,3
adaptive_fedprox_mnist_alpha1.0_clients10,16,0.989,0.03390829245604982,0,3
adaptive_fedprox_mnist_alpha1.0_clients10,17,0.9883,0.036663981160013646,0,3
adaptive_fedprox_mnist_alpha1.0_clients10,18,0.987,0.03750189214415732,0,3
adaptive_fedprox_mnist_alpha1.0_clients10,19,0.9893,0.03270246671412242,0,3
adaptive_fedprox_mnist_alpha1.0_clients10,20,0.9892,0.03046647264872663,0,3
