experiment_name,rounds,global_accuracy,global_loss,comm_cost,num_clients
fedavg_mnist_alpha0.5_clients10,0,0.0451,2.3012658012390137,0,3
fedavg_mnist_alpha0.5_clients10,1,0.8775,0.42810881538391116,0,3
fedavg_mnist_alpha0.5_clients10,2,0.9166,0.22641465793773533,0,3
fedavg_mnist_alpha0.5_clients10,3,0.9671,0.10124588499348611,0,3
fedavg_mnist_alpha0.5_clients10,4,0.9654,0.1051405215151608,0,3
fedavg_mnist_alpha0.5_clients10,5,0.9782,0.06749439055982512,0,3
fedavg_mnist_alpha0.5_clients10,6,0.9825,0.05212683957674308,0,3
fedavg_mnist_alpha0.5_clients10,7,0.9871,0.041008271316105675,0,3
fedavg_mnist_alpha0.5_clients10,8,0.9876,0.03882674021044659,0,3
fedavg_mnist_alpha0.5_clients10,9,0.9842,0.04984482243342063,0,3
fedavg_mnist_alpha0.5_clients10,10,0.9821,0.060085837039208854,0,3
fedavg_mnist_alpha0.5_clients10,11,0.9861,0.04413631977773039,0,3
fedavg_mnist_alpha0.5_clients10,12,0.9897,0.03572917917041705,0,3
fedavg_mnist_alpha0.5_clients10,13,0.9905,0.030903397770871015,0,3
fedavg_mnist_alpha0.5_clients10,14,0.9907,0.030101147231531105,0,3
fedavg_mnist_alpha0.5_clients10,15,0.9895,0.03498958494737403,0,3
fedavg_mnist_alpha0.5_clients10,16,0.9902,0.03326688305909267,0,3
fedavg_mnist_alpha0.5_clients10,17,0.9916,0.0308825048575819,0,3
fedavg_mnist_alpha0.5_clients10,18,0.9895,0.037137090948669356,0,3
fedavg_mnist_alpha0.5_clients10,19,0.9895,0.033716798581930406,0,3
fedavg_mnist_alpha0.5_clients10,20,0.99,0.036813192965221425,0,3
